timestamp,accelerationX,accelerationY,accelerationZ,magnitudeX,magnitudeY,magnitudeZ,orientationX,orientationY,orientationZ
1552572541.0133753,-0.3470458984375,-0.94268798828125,-0.119873046875,4494,5794,1249,3.095978449623758,1.2143815325457028,1.8648649232854408
1552572541.5780401,-0.31585693359375,-0.96484375,-0.13189697265625,4294,5944,1391,-3.1230637479010133,1.22082005664144,1.8750297078993494
1552572542.1321013,-0.282958984375,-0.96575927734375,-0.11920166015625,4343,5843,1266,2.8953697574063475,1.2348420277838645,1.9830907260690045
1552572542.6846032,-0.24835205078125,-1.01007080078125,-0.0919189453125,4215,5890,673,2.6686845577154235,1.3390255982550778,2.0454506459455954
1552572543.2369504,-0.35479736328125,-0.96319580078125,-0.14990234375,3418,6501,587,2.6801130184912156,1.1581256316937916,1.821175017703802
1552572543.7894902,-0.3248291015625,-0.806640625,-0.1978759765625,2560,6838,700,1.2809923395362488,1.1841225847818648,2.096248833340736
1552572544.3418994,-0.6187744140625,-0.8984375,0.00726318359375,1818,7132,1251,-0.43761113231877025,1.0317778984240056,1.7511955401548214
1552572544.8943574,-0.33282470703125,-0.8912353515625,-0.2249755859375,2426,6907,1282,1.2561932041591244,1.176805688754037,2.5551883438330925
1552572545.4465535,-0.18035888671875,-0.93292236328125,-0.2978515625,2151,6811,1525,1.503005175646444,1.2222051559664238,2.61835546413418
1552572545.9987314,-0.0697021484375,-1.13092041015625,-0.28717041015625,2811,6579,1343,1.8609938421247705,1.2941193328726335,2.676489290184256
1552572546.5579224,-0.1966552734375,-1.001708984375,-0.01031494140625,3373,6286,1141,1.80652714781518,1.4641702596797344,3.0652361884541177
1552572547.1110594,-0.0208740234375,-0.999267578125,-0.0196533203125,3243,6646,1648,-2.6169731778011682,1.4837434458057377,1.5977049441776623
1552572547.6657615,-0.0623779296875,-1.0423583984375,0.0382080078125,3126,6877,1975,-1.5024614209936065,1.4807900031904548,0.6498035463545777
1552572548.2183454,0.04736328125,-1.0230712890625,0.14990234375,2519,7156,1716,-0.31707676831366116,1.438408754358804,-0.5506300718553883
1552572548.7677555,-0.02978515625,-1.02294921875,0.14129638671875,2363,7138,1711,-0.8256889386039805,1.4618306928994123,0.07115847789723893
1552572549.3207824,-0.07672119140625,-0.992431640625,0.13079833984375,2500,7071,1849,-1.121923558190475,1.4051647407108474,0.5311234557992845
1552572549.8734276,-0.1029052734375,-1.09075927734375,0.10479736328125,3201,6869,1761,-1.343493319318889,1.4912528358930397,0.4214670606466805
1552572550.4277446,-0.1839599609375,-1.054443359375,0.05889892578125,3782,6462,1231,-1.9926545020422952,1.4062837586676682,0.9896806667043077
1552572550.9799845,-0.03985595703125,-0.9217529296875,-0.02947998046875,3098,6184,570,-2.7332459487608434,1.4235689222766401,1.4631589411349664
1552572551.5324526,-0.108154296875,-1.04296875,0.02362060546875,2762,6099,334,-2.3771944892587826,1.4274108103093905,1.1515271528598143
1552572552.0904186,-0.06719970703125,-1.0516357421875,0.0367431640625,2910,6144,165,-2.254308185344852,1.409686854277402,1.013953792778907
1552572552.6426826,-0.1048583984375,-0.9844970703125,0.0950927734375,2841,6161,98,-2.293098985640086,1.4303666147180962,0.9926096389973347
1552572553.1951516,-0.06402587890625,-1.00152587890625,0.0828857421875,2830,6168,-22,-2.2886578476148163,1.4429403002809666,0.9260193597674437
1552572553.7474096,-0.08203125,-1.0240478515625,0.082275390625,2722,6181,14,-1.9913859067789754,1.4435278116540866,0.6968453105838396
1552572554.2995458,-0.0848388671875,-0.99853515625,0.10821533203125,2726,6213,-62,-2.052435104225365,1.4757208010365044,0.6517026631733258
1552572554.8522217,-0.077392578125,-1.0142822265625,0.1165771484375,2665,6202,-76,-2.069909774321895,1.4717057300478518,0.6708211810772553
1552572555.4052846,-0.0601806640625,-1.0394287109375,0.09490966796875,2719,6233,-114,-1.9945534654258195,1.440548001491511,0.6616491069708321
1552572555.9594147,-0.06048583984375,-1.01763916015625,0.11309814453125,2754,6169,-93,-1.9206675363080676,1.4436850667378682,0.5650151783507772
1552572556.513157,-0.06658935546875,-1.0511474609375,0.110595703125,2744,6188,-160,-1.9378980176168095,1.4390801725781883,0.6085671678891943
1552572557.0666127,-0.11279296875,-0.96343994140625,0.13092041015625,2756,6165,-124,-2.0730038412205243,1.4670932634444898,0.6670393616086658
1552572557.6195557,-0.06475830078125,-1.03662109375,0.102294921875,2712,6173,-180,-1.8629488294289458,1.4295211974556186,0.5597635112981414
1552572558.1723797,-0.0587158203125,-1.01531982421875,0.12078857421875,2639,6184,-170,-1.7030168479477268,1.4226584669361024,0.4334152593977703
1552572558.726662,-0.04833984375,-1.0279541015625,0.1134033203125,2625,6261,-154,-1.7290111527394738,1.4207357879198084,0.4745051388987651
1552572559.2821548,-0.07061767578125,-1.0250244140625,0.1287841796875,2601,6248,-134,-1.8330249875236198,1.4507284014325403,0.48113216584767604
1552572559.8349988,-0.077392578125,-0.98583984375,0.1551513671875,2652,6237,-117,-1.8569172199471253,1.4501830390353594,0.5016040541891205
1552572560.38757,-0.0430908203125,-1.03753662109375,0.0958251953125,2641,6223,-165,-1.8201961178989992,1.4288884196693739,0.48948939209420617
1552572560.9402409,-0.0758056640625,-1.05810546875,0.11865234375,2672,6199,-188,-1.8068436552517906,1.4511685555202094,0.4465851652135824
1552572561.496299,-0.0218505859375,-1.02471923828125,0.09918212890625,2670,6213,-206,-1.7133589974968906,1.4441543455966261,0.36137737665056896
1552572562.048316,-0.03204345703125,-0.9827880859375,0.17218017578125,2597,6206,-700,-1.797006269347576,1.4339248650699363,0.2797085221762786
1552572562.607728,-0.03021240234375,-0.9918212890625,0.1466064453125,1901,6433,-1233,-2.2009380580672557,1.3419833951138247,0.609505418438694
1552572563.1600099,-0.05145263671875,-1.12548828125,0.0589599609375,554,6669,-1197,-3.0999294717705013,1.4525138277212752,0.44832987192070484
1552572563.7124689,-0.05206298828125,-0.9576416015625,0.142578125,-473,6905,-857,-2.7143317325179637,1.52576945407119,-0.7872500131324186
1552572564.265203,-0.00341796875,-0.9661865234375,0.16534423828125,-1991,6725,-567,-2.8780680976212376,1.4480224098113328,-1.4347663425900503
1552572564.817748,-0.062744140625,-1.08416748046875,0.1168212890625,-2367,6719,-345,0.9270114901979689,1.3904523048498438,0.3841431730121888
1552572565.371603,0.1890869140625,-1.08709716796875,0.0106201171875,-1870,6656,-588,1.6291736420925447,1.4633782494482732,-0.11722968183006909
1552572565.924267,0.29083251953125,-1.0013427734375,-0.05126953125,-765,6815,-31,0.003548363368939297,1.2976258086453336,-1.5371382161614413
1552572566.477101,0.33099365234375,-0.9569091796875,-0.06964111328125,-189,6793,398,0.20920530311229568,1.2585226118859525,-1.4950848805146755
1552572567.029973,0.42462158203125,-0.8927001953125,0.06597900390625,-1028,6530,505,0.17311291742792287,0.9940718777717156,-1.6443928191095594
1552572567.582483,0.3125,-0.99127197265625,0.0487060546875,17,6675,464,0.20037136947171777,1.207462921838588,-1.4791319195904886
1552572568.140176,0.1680908203125,-1.0015869140625,0.08489990234375,937,6683,-46,-0.24848054962414656,1.3601088530813743,-0.9873163866443927
1552572568.692733,0.080078125,-0.9801025390625,0.07464599609375,1410,6708,-134,-0.452665292327252,1.4378922347791119,-0.9615701882241239
1552572569.2456112,0.1197509765625,-1.0555419921875,0.0491943359375,1587,6683,-180,-0.4500820482297871,1.4507684189284498,-1.013458111092815
1552572569.7984831,0.13372802734375,-1.00177001953125,0.06610107421875,1537,6654,-165,-0.21630369589349585,1.4396200491878948,-1.342055105010235
1552572570.351519,0.11590576171875,-0.966064453125,0.10565185546875,1567,6652,-216,-0.47068652086571294,1.4280199005862004,-0.9658124557179951
1552572570.9042141,0.05023193359375,-1.0238037109375,0.09283447265625,1716,6591,-440,-1.1219189199974717,1.4770699068624997,-0.38132489891272947
1552572571.4566042,0.11004638671875,-1.098876953125,0.1593017578125,1796,6549,-508,-0.5961988508199647,1.404457396268609,-0.9228968800432527
1552572572.0087564,0.12310791015625,-0.8714599609375,0.0595703125,2104,6662,30,-0.0058037489522334085,1.459456791001678,-1.5474690343079398
1552572572.5611703,-0.0096435546875,-1.04278564453125,0.08935546875,2251,6537,-174,-1.5104764641686266,1.492417870331357,0.08439123123740018
1552572573.1139064,-0.01324462890625,-1.0234375,0.1141357421875,2280,6519,-165,-1.418723898492894,1.4948631112980817,-0.026473564382083113
1552572573.6665304,-0.00787353515625,-1.016845703125,0.1026611328125,2211,6529,-150,-1.265865131824601,1.491049025016192,-0.15310402882999632
1552572574.2189393,0.0228271484375,-1.05682373046875,0.0394287109375,2168,6535,-254,-1.4301164668135706,1.4503621855230566,0.1388905373008768
1552572574.7717934,-0.01422119140625,-0.967529296875,0.15704345703125,2180,6495,-352,-1.499764766970724,1.4723592453051324,0.066490626364178
